post_id	post_name	status	price_from	price_to
12928	6998-revision-v1	inherit	4734	12226
12930	4435-revision-v1	inherit	2550	6891
12932	2818-revision-v1	inherit	2724	7268
12992	2751-revision-v1	inherit	2724	8646
13006	3155-revision-v1	inherit	2549	5666
13009	2818-revision-v1	inherit	2724	7268
13014	3870-revision-v1	inherit	1755	3900
13024	3174-revision-v1	inherit	2835	6767
13028	9082-revision-v1	inherit	2506	6140
13030	6998-revision-v1	inherit	4734	12226
13038	4435-revision-v1	inherit	2550	6891
13041	4732-revision-v1	inherit	3688	8775
13043	7076-revision-v1	inherit	1960	4887
13045	6629-revision-v1	inherit	1912	5263
13048	3223-revision-v1	inherit	2936	5549
13049	7174-revision-v1	inherit	1975	4655
13052	3054-revision-v1	inherit	2925	7605
13055	5092-revision-v1	inherit	1952	4177
13057	2966-revision-v1	inherit	2549	6892
13063	3131-revision-v1	inherit	2690	6200
13066	4771-revision-v1	inherit	2515	4855
13068	2929-revision-v1	inherit	2550	6891
13075	7076-autosave-v1	inherit	1960	4887
13076	9792-revision-v1	inherit	3225	6203
13078	9252-revision-v1	inherit	1890	4200
13079	9012-revision-v1	inherit	1800	6000
13080	7506-revision-v1	inherit	7350	11550
13081	6901-revision-v1	inherit	3460	7650
13082	6629-autosave-v1	inherit	1912	5263
13083	3223-autosave-v1	inherit	2936	5549
13084	4790-revision-v1	inherit	1990	4565
13086	5365-revision-v1	inherit	1952	4177
13087	6974-revision-v1	inherit	1990	4392
13088	3054-autosave-v1	inherit	2925	7605
13089	6434-revision-v1	inherit	1755	3900
13093	9082-revision-v1	inherit	2506	6140
13094	9082-revision-v1	inherit	2506	6140
13105	ibiza-villa-with-beautiful-sea-views	draft	2620	5895
13111	13105-revision-v1	inherit	2240	5040
13186	9129-revision-v1	inherit	10925	25687
13187	9129-autosave-v1	inherit	10925	25687
13188	9129-revision-v1	inherit	10925	25687
13190	9129-revision-v1	inherit	10925	25687
13208	10903-revision-v1	inherit	1600000	1650000
13224	3186-autosave-v1	inherit	2240	6160
13232	13105-revision-v1	inherit	2240	5040
13237	10903-revision-v1	inherit	1600000	1650000
13239	2751-revision-v1	inherit	2724	8646
13241	2751-revision-v1	inherit	2724	8646
13242	13105-revision-v1	inherit	2240	5040
13243	9082-revision-v1	inherit	2506	6140
13250	2894-revision-v1	inherit	1912	5263
13272	2751-revision-v1	inherit	2747	9310
13284	2894-revision-v1	inherit	1912	5263
13288	10920-revision-v1	inherit	1463	3510
13304	3186-revision-v1	inherit	2240	6160
13346	casa-buscastell	draft	3500000	3500000
13349	jade-apartments	draft	975000	975000
13350	13349-revision-v1	inherit	2	2
13351	casa-mar	draft	1500000	1500000
13352	13351-revision-v1	inherit	2	2
13356	casa-balinesa-2	private	900000	900000
13359	13346-revision-v1	inherit	3500000	3500000
