post_id	post_name	status	value
13521	13500-revision-v1	inherit	Chalet en venta en Cala Tarida
13523	the-towners	draft	Chalet en venta en Marina Botafoch-Platja de Talamanca
13524	13523-revision-v1	inherit	Chalet en venta en Marina Botafoch-Platja de Talamanca
13546	13523-revision-v1	inherit	Chalet en venta en Marina Botafoch-Platja de Talamanca
13547	13523-revision-v1	inherit	Chalet en venta en Marina Botafoch-Platja de Talamanca
13548	13500-revision-v1	inherit	Chalet en venta en Cala Tarida
13549	villa-baougain	draft	Chalet en venta en Sant Rafel de sa Creu
13525	13523-autosave-v1	inherit	Chalet en venta en Marina Botafoch-Platja de Talamanca
13550	13549-revision-v1	inherit	Chalet en venta en Sant Rafel de sa Creu
13551	13549-revision-v1	inherit	Chalet en venta en Sant Rafel de sa Creu
13577	13549-revision-v1	inherit	Chalet en venta en Sant Rafel de sa Creu
13578	villa-delight	draft	Chalet en venta en Santa Gertrudis de Fruitera
13595	13549-revision-v1	inherit	Chalet en venta en Sant Rafel de sa Creu
13596	13578-revision-v1	inherit	Chalet en venta en Santa Gertrudis de Fruitera
13597	13578-revision-v1	inherit	Chalet en venta en Santa Gertrudis de Fruitera
13598	casa-sagramassa	draft	Chalet en venta en Santa Eulària des Riu
13599	13598-revision-v1	inherit	Chalet en venta en Santa Eulària des Riu
13623	13598-revision-v1	inherit	Chalet en venta en Santa Eulària des Riu
13624	villa-isabelle	draft	Chalet en venta en Sant Antoni de Portmany
13625	13624-revision-v1	inherit	Chalet en venta en Sant Antoni de Portmany
13644	13624-revision-v1	inherit	Chalet en venta en Sant Antoni de Portmany
13645	green-for-sur	draft	Casa pareada en venta en Urbanización Roca Llisa
13658	13645-revision-v1	inherit	Casa pareada en venta en Urbanización Roca Llisa
13659	can-flow	draft	Chalet en venta en Nostra Senyora de Jesús
13681	13659-revision-v1	inherit	Chalet en venta en Nostra Senyora de Jesús
13682	villa-darcy	draft	Chalet en venta en Ca´n Cirer
13703	13682-revision-v1	inherit	Chalet en venta en Ca´n Cirer
13704	prado-estate	draft	Chalet en venta en Ca´n Cirer
13725	13704-revision-v1	inherit	Chalet en venta en Ca´n Cirer
13726	cala-lenya-villas	draft	Chalet en venta en Platja Cala Llenya
13727	13726-revision-v1	inherit	Chalet en venta en Platja Cala Llenya
13737	13726-revision-v1	inherit	Chalet en venta en Platja Cala Llenya
13738	villa-lisa	draft	Chalet en venta en Platja d´en Bossa
13757	13738-revision-v1	inherit	Chalet en venta en Platja d´en Bossa
